,embedding_x,embedding_y
0,4.5822535,18.303787
1,4.189081,13.990575
2,4.2429204,18.48578
3,13.035638,-9.4989395
4,20.575422,6.260707
5,1.7056496,12.762246
6,5.174799,18.988789
7,-0.5536338,-5.989997
8,6.1779337,17.556263
9,-0.46546265,-2.4395814
10,14.22506,1.5421522
11,13.068503,-9.528838
12,5.4268813,19.980104
13,21.66604,-3.9902253
14,4.211914,18.358562
15,5.440967,20.28662
16,20.689095,-9.788605
17,11.172032,-8.123515
18,16.882578,14.441007
19,5.4456043,19.528215
20,5.322088,19.456966
21,9.016539,-8.11604
22,4.130479,18.034012
23,-1.7382675,4.696742
24,5.2154837,19.185774
25,19.962076,5.2134056
26,3.7563288,2.851875
27,13.373222,4.0064244
28,-1.7654955,6.7976937
29,0.3403034,-5.7887006
30,7.747143,15.894978
31,-3.339607,3.715338
32,18.27258,4.45018
33,15.225971,2.6255944
34,9.738979,-7.0040646
35,-3.3963902,3.8463426
36,5.4403543,20.280666
37,-3.450164,3.8326929
38,5.7439804,19.023945
39,1.9251307,2.0125482
40,0.4634947,8.625207
41,2.995501,14.108822
42,6.804555,16.347809
43,14.7647,0.9652034
44,20.588478,-2.0059202
45,21.117067,-2.2890546
46,-0.021414977,-1.250173
47,5.4393363,20.289488
48,-2.9775138,3.3758857
49,-3.3514345,3.7465205
50,18.239725,11.390684
51,1.4363464,-9.57687
52,8.199645,-6.9335856
53,8.459354,-11.616382
54,1.859719,10.707743
55,19.327545,10.057357
56,11.450166,-8.072423
57,3.0138903,1.994344
58,8.417119,-11.665203
59,18.787249,3.071412
60,19.551752,8.15718
61,-0.46091083,-2.448512
62,0.08122975,-10.053119
63,13.066651,3.935426
64,3.1758425,-14.257739
65,9.719075,-6.99294
66,5.4398127,20.290482
67,-3.5407107,4.590032
68,5.4331536,20.270786
69,6.9759765,14.868209
70,5.2234154,19.242348
71,6.5534434,18.359991
72,10.838258,22.762012
73,20.923613,6.918097
74,13.588791,13.374228
75,0.4338854,-7.25209
76,4.145999,13.97228
77,5.4094834,19.627522
78,6.198293,17.583294
79,20.55288,-2.0414104
80,10.837588,22.76278
81,4.1403465,18.024343
82,20.28256,6.6087003
83,0.023442116,-5.331394
84,18.462168,3.5446353
85,1.9402934,10.837818
86,0.073130116,-10.059318
87,20.54972,6.030717
88,8.42981,-11.650385
89,3.814232,17.019705
90,3.822119,2.7428155
91,20.711174,-9.76651
92,-1.8000402,5.1281657
93,20.333012,-4.06739
94,3.9223893,13.878907
95,18.137444,4.4998336
96,5.417785,20.252714
97,3.494208,19.985746
98,19.126799,10.927997
99,-2.09474,5.3156505
100,2.8942914,14.434333
101,17.322721,14.047959
102,13.95815,-9.799511
103,4.541241,14.3642845
104,8.601147,-11.446033
105,0.6392007,-5.5151954
106,1.7504786,12.749563
107,3.8073754,17.02058
108,18.053852,4.0971465
109,19.489773,10.765459
110,6.5214405,17.988243
111,14.471394,1.1715149
112,13.832354,-9.400728
113,21.151096,7.002063
114,-0.3218435,-6.96853
115,4.320538,18.613401
116,-1.7009741,4.5301566
117,18.910965,-5.789355
118,5.4208426,19.632345
119,6.5441055,18.0036
120,5.1766343,18.977896
121,3.698644,14.373063
122,1.5161505,-12.175108
123,3.1433983,14.6717825
124,3.1521645,2.5096033
125,6.612046,18.207935
126,3.793332,13.8829775
127,19.403671,10.132073
128,3.1855907,2.0889795
129,2.1196935,1.7301037
130,17.740587,11.668631
131,3.9620264,17.451973
132,-1.8579137,4.962297
133,4.4794855,-0.5500846
134,0.9356378,-0.08715267
135,18.40219,5.1029515
136,3.930579,17.420494
137,21.268068,-3.4039762
138,19.782534,7.899826
139,-2.9260406,3.3246994
140,14.797755,2.1657062
141,17.607449,6.8269567
142,2.7390945,10.699216
143,4.023716,13.962908
144,-0.31822288,-1.2091527
145,3.3753674,13.303848
146,3.2949178,13.365775
147,3.9138813,17.364683
148,0.97700906,-0.15961389
149,-2.2455537,5.9851055
150,-1.1356837,3.376601
151,0.8035058,-0.57929105
152,11.106598,-8.069657
153,18.10692,4.4035926
154,3.5873904,13.801156
155,18.933432,10.421364
156,1.2344047,-9.462957
157,4.0139923,9.578651
158,17.927822,11.48773
159,18.374073,11.026293
160,14.732916,0.97323906
161,1.3043985,2.3324277
162,4.089497,17.841331
163,-3.5009475,3.9223382
164,8.397541,-11.691731
165,15.283724,2.6968794
166,1.7518113,-9.707575
167,20.678457,-9.799603
168,13.583618,13.382936
169,4.582724,14.331322
170,5.3968163,19.747244
171,13.957802,-9.711792
172,5.7258267,19.098694
173,-1.7164236,5.871007
174,3.3152807,13.764198
175,4.7762556,14.260608
176,4.3908496,8.891536
177,0.47127736,-9.505402
178,14.96888,2.3388903
179,-0.45314848,-2.4609663
180,4.328265,18.656055
181,-1.0579797,-5.906788
182,5.1776576,18.975723
183,3.5646029,10.773035
184,4.235574,14.052669
185,18.822144,-4.268673
186,9.054881,-7.5398793
187,3.7873406,2.8824248
188,5.4390435,20.29054
189,8.453068,-7.2499814
190,3.1691492,13.735452
191,6.7208867,18.178726
192,0.120391004,-6.9757113
193,17.603884,13.780314
194,5.3794823,19.660366
195,8.176647,-6.6469955
196,18.8417,10.412454
197,20.00334,5.859014
198,7.126777,0.8449667
199,19.41425,9.57549
200,1.9349713,2.0290775
201,17.009556,14.473247
202,19.386757,10.161836
203,6.3794303,17.139547
204,20.099255,8.976132
205,3.1571352,13.395426
206,13.049734,3.924857
207,3.3228126,13.372943
208,0.23757137,-7.0090256
209,14.768353,3.1680799
210,4.472379,8.913711
211,3.798186,17.020761
212,1.3562617,-5.565328
213,10.091595,-6.467575
214,20.716967,-9.760517
215,13.17134,5.5495863
216,4.4886894,-0.53846455
217,4.3972883,18.437656
218,8.238378,-6.799903
219,14.180513,-11.038109
220,3.272674,2.58913
221,5.3743916,19.492329
222,4.9580965,8.5456
223,8.062683,-6.5499873
224,1.5305343,0.21725948
225,1.2802453,-12.200555
226,2.1584382,-13.742385
227,-3.4977906,7.170083
228,-6.0758348,17.634274
229,4.927527,8.556217
230,3.5031717,19.974968
231,17.524834,13.874215
232,13.572298,13.405232
233,13.289247,2.027271
234,19.940468,7.6676283
235,5.419582,20.020805
236,-1.7835587,4.102258
237,-2.5412314,-4.933157
238,-1.7686044,4.8716793
239,3.9134536,17.361483
240,0.6113416,10.121815
241,-2.2818806,6.0080442
242,3.1749897,-14.257082
243,5.42776,19.935184
244,5.4308987,19.954487
245,3.9589655,13.862759
246,19.086174,9.973346
247,-3.5990577,6.922217
248,7.7403274,15.894157
249,4.0678706,10.350701
250,6.6510344,18.214256
251,0.3115397,-7.022589
252,5.58506,14.703091
253,3.2450895,13.491089
254,3.6485567,14.393753
255,8.439484,-6.231945
256,1.3359174,2.295787
257,7.742741,15.902041
258,21.260164,-3.405782
259,19.409752,10.687727
260,5.4287286,20.025547
261,0.95785683,-0.30427605
262,3.1769059,13.64213
263,21.505444,-3.9701376
264,0.40200585,10.058516
265,18.626934,6.0415606
266,3.03158,14.037543
267,-0.5891747,3.0296395
268,5.4321647,20.227041
269,0.92129946,-0.09445712
270,6.3080273,17.551556
271,3.8227994,2.7360592
272,4.162036,17.832766
273,5.4338226,20.256954
274,6.454077,18.531166
275,-1.7890446,4.8927207
276,4.115641,18.01135
277,6.3341255,17.565023
278,3.296291,13.329603
279,6.544948,18.35265
280,8.414644,-11.668887
281,7.7536545,15.895176
282,6.3851833,18.036165
283,4.3708496,18.661434
284,3.1687279,2.5405414
285,7.754941,15.895299
286,6.1590586,16.56223
287,6.245908,17.456932
288,14.532107,-11.77585
289,5.39825,19.730888
290,-0.63037765,-2.0125253
291,8.612809,-7.0880413
292,4.10018,9.357739
293,1.2941244,2.334983
294,6.6923003,18.248106
295,0.9852764,-0.28325224
296,10.118451,-6.461447
297,0.93368405,-0.09808401
298,-3.5101447,4.512549
299,-2.1132467,5.3864765
300,19.86948,6.119247
301,3.498095,13.772278
302,7.5746493,15.870603
303,6.1792216,16.560612
304,4.019513,17.757175
305,19.615026,8.513319
306,6.2030406,17.58964
307,1.7298036,12.786432
308,-0.005506717,-7.4331927
309,2.7250266,10.343419
310,4.937975,8.551191
311,5.1984324,18.93109
312,6.7192492,18.184603
313,-3.3781157,3.7584116
314,-0.05979326,7.9211283
315,2.5073369,-13.7968445
316,1.7652552,-9.771267
317,6.6253767,18.253092
318,1.8420174,-9.762544
319,4.1478634,17.798971
320,3.1270142,13.65137
321,13.48037,-9.04941
322,7.755492,15.882573
323,6.163923,16.56626
324,6.426181,18.563456
325,8.791368,-8.042981
326,1.3795973,2.263463
327,3.8070288,2.6471016
328,1.7864509,10.7254715
